Supermarkten;Adres;Postcode;Latitude;Longitude
Aldi;1e Middellandstraat 56;3014 BG;51.918953;44.64029
Dirk;1e Middellandstraat 115;3021 BD;51.918510;44.59828
Lidl;Ambachtsplein 30;3068 GV;51.964913;45.71034
Coop;Ambachtsplein 97;3068 GV;51.965570;45.69858
Albert Heijn XL;Argonautenweg 1;3054 RP;51.959186;44.94417
Aldi;Argonautenweg 14;3054 RP;51.958783;44.93874
Dirk;Beijerlandsepassage 7;3074 RW;51.896263;45.11524
Albert Heijn;Benthuizerstraat 54;3036 CJ;51.936369;44.79879
Albert Heijn;Bentinckplein 40;3039 KM;51.927053;44.61992
Dirk;Bergweg 91;3037 ED;51.939227;44.79211
Albert Heijn to go;Beurstraverse 146;3012 AT;51.919900;44.80459
Plus;Binnenhof 2;3069KV;51.578916;46.36717
Aldi;Binnenhof 39;3069 KV;52.378843;66.77703
Jumbo;Botersloot 13-19;3011 HE;51.903658;49.41455
Coop;Bredenoord 8-16;3079 JE;51.882918;45.51722
Plus;Burgemeester Baumannlaan 187-189;3042AD;51.934526;44.28354
Spar;Burgemeester Oudlaan 50;3062 PA;51.917975;45.26174
Albert Heijn to go;Coolsingel 131a;3012 AG;51.918819;44.79669
Aldi;Cor Kieboomplein 120;3077 MK;51.897069;45.23534
Albert Heijn to go;Dr. Molewaterplein 40;3015 GD;51.910168;44.66608
Albert Heijn;Eudokiaplein 12;3037 BT;51.932718;44.71414
Aldi;Eudokiaplein 8 - 10;3037 BT;51.932868;44.70847
Lidl;Galvanistraat 76;3029 AD;51.911335;44.29698
Plus;Ganzerikplein 329;3053EA;51.958876;44.72418
Spar;Glashaven 6;3011 XH;51.916462;44.85747
Albert Heijn;Goudse Rijweg 707;3031 CG;51.928749;44.88683
Dirk;Goudsesingel 19-23;3031 EB;51.916844;43.52081
MCD;Groene zoom 208;3075 GK;51.884941;45.12263
Albert Heijn;Groenendaal 49-55;3011 SN;51.922002;44.93565
Albert Heijn;Grote Markt 98;3011 PA;51.917658;44.86852
Dirk;Hellevoetstraat 2-18;3081 NP;51.895277;44.87072
Albert Heijn;Hesseplaats 13;3069 EA;51.962589;45.53934
Jumbo;Hesseplaats 435;3069 EA;51.962659;45.51601
Jumbo;Hillelaan 77;3072 JE;51.902946;44.95675
Coop;jacob van campenplein 182;3067 LE;51.943439;45.37753
Lidl;Jacques Dutilhweg 193 205;3065 KA;51.930445;45.58682
Albert Heijn;Keizerswaard 33;3078 AL;51.887111;45.46450
Jumbo;Keizerswaard 63;3078 AL;51.886562;45.46278
Dirk;Keizerswaard 58;3078 AM;51.886817;45.48411
Aldi;Kleiweg 16 (Nassaustr.);3051 GR;51.944860;44.81861
Albert Heijn;Kleiweg 35;3051 GJ;51.945131;44.81613
Albert Heijn;Krabbendijkestraat 10;3086 LW;51.874636;44.67018
Attent;Kreekplein 8;3079 AB;51.885647;45.36729
Albert Heijn;Laan op Zuid 1190;3071 AC;51.904490;45.03665
Lidl;Lange Hilleweg 103 -115;3073 BK;51.893436;45.01615
Albert Heijn;Lijnbaan 121;3012 EN;51.919266;44.77052
Aldi;Linker Rottekade 6b;3034 NT;51.935339;44.90812
Albert Heijn;Lusthofstraat 89;3061 WL;51.924591;45.10064
Aldi;Maaskade 23 a;3071 NA;51.916379;45.00191
Albert Heijn;Maltaplein 52;3059 XW;51.980387;45.82737
Albert Heijn;Mariniersweg 39;3011 ND;51.923722;44.88465
Albert Heijn;Marinus Bolkplein 4;3067 AK;51.941868;45.47742
Lidl;Mathenesserdijk 123;3027 BG;51.915942;44.36765
Albert Heijn;Mathenesserplein 76;3022 LD;51.917801;44.44908
Albert Heijn;Meent 80-84;3011 JN;51.922230;44.83186
Albert Heijn;Mia van IJperenplein 89;3065 JK;51.929057;45.47044
Coop;Moermanskpad 27-37;3067 DG;51.944006;45.65284
Coop;Nieuwe Binnenweg 24;3015 BA;51.916385;44.70588
Albert Heijn;Nieuwe Binnenweg 288B;3021 GS;51.912783;44.58476
Dirk;Nieuwe Ommoordseweg 4;3068 BT;51.958303;45.44930
Albert Heijn;Oudedijk 149;3061 AA;51.927517;45.09835
Lidl;Paul Krugerstraat 220 -222;3072 GS;51.898914;44.96895
Albert Heijn;Peppelweg 151;3053 GL;51.960969;44.66721
Dirk;Pinkstraat 8;3028 XX;51.918142;44.18135
Aldi;Plein 1953 Nr. 187;3086 EM;51.873602;44.70149
Dirk;Plein 1953 31;3086 ED;51.874631;44.68612
Albert Heijn XL;Poolsterstraat 16;3067 LX;51.950756;45.53733
Albert Heijn XL;Poolsterstraat 40;3067 LX;51.950141;45.53647
Albert Heijn to go;Prins Alexanderplein 50;3067 GC;51.951552;45.52009
Dirk;Prinsenplein 50;3078 GX;51.891103;45.52081
Albert Heijn to go;Proveniersplein 24;3013 EA;51.925833;44.69181
Hoogvliet;Rhijnauwensingel 227-237;3077 VD;51.892989;45.69814
Plus;Rijnwaterstraat 35;3063HC;51.913860;45.20795
Jumbo;Samuel Esmeijerplein 21;3067 AP;51.939984;45.48959
Sahan Supermarkt;Schans 8;3025 VJ;51.909348;44.47554
Dirk;Schepenstraat 115;3039 NE;51.927068;44.62652
Plus;Schere 4-6;3085DW;51.875100;44.93536
Jumbo;Schiedamseweg 62;3025 AD;51.909842;44.45217
Dirk;Schiedamseweg 204;3025 AM;51.911252;44.38976
Albert Heijn;Schouwburgplein 85;3012 CL;51.921270;44.72267
Jumbo;Sicilliëboulevard 402;3059 XT;51.981692;45.81842
Albert Heijn;Sint-Jobsweg 116;3024 EJ;51.904121;44.59164
Albert Heijn;Slinge 191;3085 ER;51.873745;44.90806
Lidl;Spinozaweg 181 -189;3076 EL;51.877445;45.21776
Jumbo;Spinozaweg 293;3076 EP;51.877342;45.19419
Plus;Stadhoudersplein 135;3038 EA;51.931766;44.63283
Albert Heijn;Statenweg 103;3039 HJ;51.930681;44.57700
Albert Heijn to go;Stationsplein 16;3013 AJ;51.925075;44.69904
Albert Heijn to go;Stationsplein 335;3013 AK;51.923736;44.70618
Albert Heijn;Strijensestraat 77;3074 GH;51.896364;45.10071
Coop;van Beethovensingel 4;3055 JJ;51.960087;45.03751
Spar;Van Der Takstraat 56;3071 LM;51.914294;44.96093
Albert Heijn;Vasteland 108;3011 BP;51.911279;44.78090
Albert Heijn;Vierhavensstraat 147;3029 BB;51.909485;44.36493
Jumbo;Vijf Werelddelen 33;3071 PS;51.910609;44.99225
Troefmarkt;Vinkenbaan 73;3075 BM;51.881805;45.02372
Albert Heijn;Vlietlaan 61;3061 DV;51.928753;45.01497
Lidl;Vuurplaat 261 269;3071 AR;51.904685;45.04096
Spar;W. De Withstraat 32-34;3012 BP;51.915744;44.78105
MCD;Wolphaertsbocht 23;3082 AB;51.894275;44.66842
Dirk;Zevenkampsering 869;3069 MD;51.965785;45.62349
Dirk;Zuiderterras 162-186;3083 BZ;51.886358;44.90376
Albert Heijn;Zuidplein 622;3083 CX;51.887693;44.90917
